"RelativePath","Folder","Name","Extension","Width","Height","KB","SHA256"
"audit\source-renders\luv-icons-favicon-animated.png","audit\source-renders","luv-icons-favicon-animated.png",".png","1024","1024","2.3","7F9C122DD62655CD017488C719E1B2BCDE3172F3724322F8CD90114DD0C0CB4E"
"audit\source-renders\luv-icons-icons-favicons-favicon-animated.png","audit\source-renders","luv-icons-icons-favicons-favicon-animated.png",".png","1024","1024","2.3","43C0949FB1B5C588E9D960636F2BC1EB976957AF2F7924445A66ABFB63B63E4F"
"audit\source-renders\luv-icons-lm-v2-animated.png","audit\source-renders","luv-icons-lm-v2-animated.png",".png","1024","1024","31","61EE9D3FA2F2AA2A3B231D5C88A954AC9F024F1E3528BBA4D532361F16FB2CFC"
"audit\source-renders\luv-icons-lm-v2-micro.png","audit\source-renders","luv-icons-lm-v2-micro.png",".png","256","256","7.1","E0CF426E6763EC2414B6E090EA632527EC148938F7A4B3B66DC97127CC09CABD"
"audit\source-renders\luv-icons-lm-v2.png","audit\source-renders","luv-icons-lm-v2.png",".png","1024","1024","63.5","DA90A4BAE95168D68E37F620596A6815F48E24C9D8A3DB485C063053973AB158"
"audit\source-renders\luv-logos-favicon-dark.png","audit\source-renders","luv-logos-favicon-dark.png",".png","1024","1024","289.7","6FFE5E84A5FBF3E3E74300C166F28066DB7D60E2F0491125ECFBE17C1CAAA54B"
"audit\source-renders\luv-logos-favicon-original-board-match.png","audit\source-renders","luv-logos-favicon-original-board-match.png",".png","1024","1024","31.3","EC23E228F60E7093218D3181F82116F8977F5BFD70C6AF2BC5D9A5710AECCF1C"
"audit\source-renders\luv-logos-favicon.png","audit\source-renders","luv-logos-favicon.png",".png","1024","1024","126.8","1EB9343F076B33D26A1F29374EB97A28A815643EBA25244A2597D75088E6360D"
"audit\source-renders\luv-logos-icons-favicons-favicon-dark.png","audit\source-renders","luv-logos-icons-favicons-favicon-dark.png",".png","1024","1024","289.7","5CBA9C776A65FB2ED32821334E29ECA3097FB755BAD22213EC61B7C885770583"
"audit\source-renders\luv-logos-icons-favicons-favicon.png","audit\source-renders","luv-logos-icons-favicons-favicon.png",".png","1024","1024","32.9","CF141E053ECE114C2CD0CA02652FEAB785FDEA27C813EA05975FFECA0C477E70"
"audit\source-renders\luv-logos-logo-lockup-horizontal.png","audit\source-renders","luv-logos-logo-lockup-horizontal.png",".png","1024","238","15.4","A32007101A7AD646903AD271DCCF4A474B2399A6AC9F989DD05A5F93DC413BD2"
"audit\source-renders\luv-logos-logo-lockup-stacked.png","audit\source-renders","luv-logos-logo-lockup-stacked.png",".png","749","1024","17.3","FAA0A1073E4D597C54C47EEF1A14AA1A18A044EC1D020C891F6EB3352E8F3AC2"
"audit\source-renders\luv-logos-sprite.png","audit\source-renders","luv-logos-sprite.png",".png","1024","1024","6.2","1233F0B2A2B0BFDC309849E769D181132AD7E4B0BB310BD2F923D8130BF60C63"
"audit\source-renders\luv-logos-wordmark.png","audit\source-renders","luv-logos-wordmark.png",".png","1024","182","19.5","066F88112719A0F1FD904DA9C7E66095721D395868D26361858E05D356BBB3A0"
"avatars\luv-2-creator-avatar-circle.png","avatars","luv-2-creator-avatar-circle.png",".png","245","245","78","B32CEB69BE747CEBC9A143FE5A8B3090CBF0ADB36A7617C11B8AB22EA4B9F434"
"avatars\luv-3-creator-avatar-circle.png","avatars","luv-3-creator-avatar-circle.png",".png","245","245","78.6","47BCDCA9C0CACEC6766561FC80402323DFBC2FD0C032F57B20F2CF4DB7882C33"
"avatars\luv-creator-avatar-circle-2.png","avatars","luv-creator-avatar-circle-2.png",".png","245","245","78.5","438AE91AA44EC8F1D54B891A06C0602EC26FC8A783D7D9EACD2DF59270ECFBE2"
"avatars\luv-creator-avatar-circle-3.png","avatars","luv-creator-avatar-circle-3.png",".png","245","245","77.6","C2317927A8A67367FC97D87F30C75EE50990BC16EB090B1AF6DB5F86CEF7A981"
"avatars\luv-creator-avatar-circle.png","avatars","luv-creator-avatar-circle.png",".png","245","245","78.8","6FF1C7C14899F15A8EBAA778139C03F6ED57AA8C1462A9C46273AE16BF16CE97"
"banners\Copilot_20260506_110000.png","banners","Copilot_20260506_110000.png",".png","1024","1024","1320.9","B02028B2B2A64CBB4F7BC6430A47D20B1CA734EBBB6C0893940B5833E8131165"
"banners\Copilot_20260506_110504.png","banners","Copilot_20260506_110504.png",".png","1536","1024","1148","EF9C93896DBBB936489B57EA4B6109EDCF3B0ABFAB1D4617B65ADFED890FBD47"
"banners\Copilot_20260506_112111.png","banners","Copilot_20260506_112111.png",".png","1536","1024","303.5","2909D9E6317932C8820415910498BCB152D335E9E0AA07FDA5ECFCA2E2F1C360"
"banners\Copilot_20260506_112115.png","banners","Copilot_20260506_112115.png",".png","1536","1024","461.5","285A98B3B7CDEF0AB4233AFB6CCEF925B3CAB0DFAEEB4410E1AAEB21D0A5CB89"
"banners\Copilot_20260506_112135.png","banners","Copilot_20260506_112135.png",".png","1536","1024","488.2","66F3629A7F249CEDFF2BAA32C664AC76899FBEF30442BED0B2E44C1790BF88D3"
"banners\Copilot_20260506_112207.png","banners","Copilot_20260506_112207.png",".png","1536","1024","1207.5","0003452DCBCA7886E1C28AA4B4876756F4A401FA1E15AB967F483495266C3117"
"banners\Copilot_20260506_112232.png","banners","Copilot_20260506_112232.png",".png","1536","1024","83","F3C9F941B29B1FCE3513DA579E0DEEEF87B48E61F25CADC23FDE4646FB6CAC7A"
"banners\Copilot_20260506_112547.png","banners","Copilot_20260506_112547.png",".png","1536","1024","242.7","389ECACD6450188A4C5E36531BB49B70C4ADC29402F9FF0882809B0E2B6D5961"
"banners\Copilot_20260506_113028.png","banners","Copilot_20260506_113028.png",".png","1536","1024","528.5","AF48C9FD790239314BB513787FFE07570047516A3145088D7A500C9E6BDD8585"
"banners\Copilot_20260506_113218.png","banners","Copilot_20260506_113218.png",".png","1536","1024","251.3","53CB31C94E4597E9EFA47D4A69CC795E532BFF7063D93B166E6C04F350CB69EB"
"banners\Designer (1).png","banners","Designer (1).png",".png","1024","1024","1412.8","BA021FBA242698C17302072D07C57CFFBCB9826EB2D8B9581E6D6C74BEA06AFD"
"banners\Designer (2).png","banners","Designer (2).png",".png","1024","1024","1403.3","3B9A20ADCEC0E052C29EE4FC44DC706384AC6EAA53E6DA1EFA267C5C7378210B"
"banners\Designer (3).png","banners","Designer (3).png",".png","1024","1024","1390.2","E8DB3E7216D6D77ECB63A3E0D88F5857EB5861A04AD00814C491BBF11951D122"
"banners\Designer (4).png","banners","Designer (4).png",".png","1024","1024","1570.3","57AC09CD7C1E9240BED64CB58EA9BAF57446FA81F5F9BE7FC19E6E5476C5F0ED"
"banners\Designer (5).png","banners","Designer (5).png",".png","1024","1024","1085.4","AD0B06EC210C9B09592CA27A9F1DF20C775F11B95EBAD49D8A0BEC99338C50B6"
"banners\Designer (6).png","banners","Designer (6).png",".png","1024","1024","1495.4","AC89B78CDB2C22A8DB69A54F65A97FCEE36164BA94F2217393EAD2EB4D125D3B"
"banners\Designer (7).png","banners","Designer (7).png",".png","1024","1024","1288.6","2B1E7241D63C76FB59ECFF8FDB261F6F557857DE119542428B5E3EABC548B1CA"
"banners\Designer (8).png","banners","Designer (8).png",".png","1024","1536","1625.3","0FDAEDB5E1E22A1C4F0BACCC1A3ADEBDA427FCF7BFAECA31B2D73D41F31D6309"
